ti,   y,   u
68211.000000,   35.765533,   49.777832
68312.000000,   36.117096,   49.782410
68412.000000,   36.559296,   49.782410
68512.000000,   36.376648,   49.774780
68646.000000,   36.147308,   49.782410
68712.000000,   36.544189,   49.777832
68812.000000,   35.460663,   49.785461
68916.000000,   35.690002,   49.785461
69012.000000,   36.346436,   49.777832
69112.000000,   35.964661,   49.774780
69213.000000,   36.284637,   49.777832
69312.000000,   36.025085,   49.777832
69428.000000,   36.758423,   49.777832
69512.000000,   36.284637,   49.777832
69612.000000,   36.040192,   49.785461
69712.000000,   35.720215,   49.777832
69812.000000,   35.887756,   49.785461
69912.000000,   36.437073,   49.774780
70012.000000,   36.162415,   3.002014
70116.000000,   36.696625,   -0.177917
70212.000000,   36.559296,   -0.046692
70311.000000,   36.818848,   -0.042114
70412.000000,   37.078400,   -0.023804
70512.000000,   36.467285,   -0.019226
70631.000000,   35.857544,   -0.026855
70713.000000,   36.086884,   -0.019226
70811.000000,   36.162415,   -0.008545
70926.000000,   36.467285,   -0.008545
71018.000000,   36.895752,   -0.016174
71134.000000,   36.192627,   -0.016174
71211.000000,   36.421967,   -0.023804
71312.000000,   35.887756,   -0.023804
71411.000000,   37.001495,   -0.019226
71512.000000,   36.299744,   -0.019226
71612.000000,   36.361542,   -0.031433
71712.000000,   35.812225,   -0.019226
71811.000000,   36.589508,   -0.019226
71912.000000,   36.971283,   -0.016174
72012.000000,   36.666412,   -0.011597
72112.000000,   36.559296,   -0.011597
72228.000000,   36.406860,   -0.026855
72312.000000,   36.361542,   -0.019226
72411.000000,   36.299744,   -0.023804
72512.000000,   36.758423,   -0.019226
72611.000000,   36.758423,   -0.023804
72732.000000,   36.254425,   -0.023804
72813.000000,   35.505981,   -0.023804
72912.000000,   36.529083,   -0.019226
73041.000000,   36.040192,   -0.016174
73112.000000,   36.452179,   -0.031433
73211.000000,   35.582886,   -0.023804
73335.000000,   36.329956,   -0.019226
73406.000000,   36.314850,   -0.008545
73512.000000,   35.887756,   -0.019226
73612.000000,   36.254425,   -0.023804
73713.000000,   36.025085,   -0.023804
73817.000000,   35.628204,   -0.031433
73932.000000,   36.147308,   -0.023804
74013.000000,   36.209106,   -0.016174
74112.000000,   35.628204,   -0.023804
74211.000000,   36.467285,   -0.019226
74326.000000,   35.628204,   -0.016174
74412.000000,   36.284637,   -0.019226
74512.000000,   36.162415,   -0.019226
74612.000000,   36.376648,   -0.011597
74712.000000,   35.887756,   -0.019226
74812.000000,   35.522461,   -0.034485
74912.000000,   36.132202,   -0.011597
75029.000000,   36.284637,   -0.023804
75113.000000,   36.101990,   -0.019226
75211.000000,   35.537567,   -0.023804
75312.000000,   35.765533,   -0.019226
75412.000000,   36.284637,   -0.023804
75523.000000,   35.155792,   -0.016174
75612.000000,   35.857544,   -0.016174
75711.000000,   36.239319,   -0.019226
75806.000000,   36.254425,   -0.026855
75944.000000,   35.278015,   -0.019226
76013.000000,   35.490875,   -0.016174
76125.000000,   36.025085,   -0.019226
76212.000000,   35.582886,   -0.031433
76312.000000,   35.186005,   -0.023804
